Début des rapports,Fin des rapports,Nom de la campagne,Plateforme,Résultats,Indicateur de résultats,Couverture,Impressions,Répétition,CPM (Coût pour 1 000 impressions) (USD),Clics (tous),CTR (tous),CPC (tous) (USD),Interactions avec la publication,Commentaires sur la publication,Réactions à une publication,Partages de publications,J’aime sur Facebook,Coût par interaction avec la Page (USD),ThruPlays,Coût par ThruPlay (USD),Lectures de vidéo de 3 secondes,Coût par lecture de vidéo de 3 secondes (USD),Followers sur Instagram,Clics sur un lien,CPC (coût par clic sur un lien) (USD),Conversations par messages démarrées,Achats,Ajouts au panier,Ajouts d’informations de paiement,Paiements initiés,Prospects,Vues de contenu,ROAS (retour sur les dépenses publicitaires) des achats,Conversion rate,Coût par résultat,mois,annee
2023-03-23,2026-04-22,Batam - Février 2025 - Réfrigérateurs - 60K clics,Facebook,2.0,actions:offsite_conversion.fb_pixel_purchase,1403,6609,4.71062,0.229516,129,1.951884,0.011759,2952.0,,,,,0.000514,1314.0,0.001154,2822.0,0.000538,0,130.0,0.011668,,2.0,5.0,,2.0,,,63.914391,0.0,0.75843638,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Lave Vaisselles - Carrousel,Facebook,,,56,210,3.75,0.380192,9,4.285714,0.008871,130.0,,,,,0.000614,68.0,0.001174,121.0,0.00066,0,9.0,0.008871,,,,,,,,,0.0,,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - TV - Carrousel,Facebook,,,96,126,1.3125,0.0,6,4.761905,0.0,97.0,,,,,0.0,60.0,0.0,91.0,0.0,0,6.0,0.0,,,,,,,,,0.0,,Février,2025
2023-03-23,2026-04-22,Batam - Février 2025 - Four - Carrousel,Facebook,,,80,164,2.05,0.182519,5,3.04878,0.005987,110.0,,,,,0.000272,66.0,0.000454,105.0,0.000285,0,5.0,0.005987,,,,,,,,,0.0,,Février,2025
2023-03-23,2026-04-22,"Batam - Février 2025 - Ramadan (+159,15$)/4,5k$",Facebook,,,9187,51538,5.609884,0.337215,1215,2.357484,0.014304,,,,,,,16497.0,0.001053,29766.0,0.000584,0,1226.0,0.014176,,,,,,,,,,,Février,2025
2023-03-23,2026-04-22,Batam - BATAMIT_Recrutement de fans - Juin 2024,Facebook,8543.0,actions:like,213536,616112,2.885284,0.575528,25093,4.072798,0.014131,6771.0,52.0,1325.0,48.0,8543.0,0.023155,,,,,0,5322.0,0.066627,,,,,,,,,0.0,0.0415065,Juin,2024
2023-03-23,2026-04-22,Batam - Octobre 2023 - Interactions,Facebook,44705.0,actions:post_engagement,315746,929967,2.945301,0.142812,50998,5.483851,0.002604,44705.0,31.0,859.0,88.0,8.0,0.00297,,,,,0,20.0,6.6405,,,,,,,,,0.0,0.00297081,Octobre,2023
2023-03-23,2026-04-22,Batam - BATAMIT - Trafic - Juin 2024,Facebook,11922.0,actions:link_click,219241,471326,2.149808,0.312968,30040,6.373508,0.00491,12679.0,43.0,634.0,44.0,179.0,0.011472,,,,,0,11922.0,0.012373,,,,,,,,,0.0,0.01237292,Juin,2024
2023-03-23,2026-04-22,Batam - BATAMIT - Reveal - FB - Vues Thruplays - Juin 2024,Facebook,61886.0,video_thruplay_watched_actions,65531,94086,1.435748,0.690325,1730,1.838743,0.037543,74870.0,,8.0,1.0,,0.000868,61886.0,0.00105,73157.0,0.000888,0,1704.0,0.038116,42.0,,,,,,,,0.0,0.00104951,Juin,2024
2023-03-23,2026-04-22,Batam - Août 2024 - R.Fans,Facebook,2227.0,actions:like,49345,65966,1.336833,0.493284,5092,7.719128,0.00639,1681.0,48.0,406.0,27.0,2227.0,0.008327,,,,,0,1182.0,0.02753,,,,,,,,,0.0,0.01461159,Août,2024
